a,c,margin,eta_c_probability,delta_vs_reference,estimable_probability_boundary
0.05,0.01,0.005,,,False
0.05,0.01,0.01,,,False
0.05,0.01,0.02,,,False
0.05,0.01,0.03,,,False
0.05,0.01,0.05,,,False
0.05,0.02,0.005,,,False
0.05,0.02,0.01,,,False
0.05,0.02,0.02,,,False
0.05,0.02,0.03,,,False
0.05,0.02,0.05,,,False
0.05,0.03,0.005,,,False
0.05,0.03,0.01,,,False
0.05,0.03,0.02,,,False
0.05,0.03,0.03,,,False
0.05,0.03,0.05,,,False
0.05,0.05,0.005,,,False
0.05,0.05,0.01,,,False
0.05,0.05,0.02,,,False
0.05,0.05,0.03,,,False
0.05,0.05,0.05,,,False
0.1,0.01,0.005,,,False
0.1,0.01,0.01,,,False
0.1,0.01,0.02,,,False
0.1,0.01,0.03,,,False
0.1,0.01,0.05,,,False
0.1,0.02,0.005,,,False
0.1,0.02,0.01,,,False
0.1,0.02,0.02,,,False
0.1,0.02,0.03,,,False
0.1,0.02,0.05,,,False
0.1,0.03,0.005,,,False
0.1,0.03,0.01,,,False
0.1,0.03,0.02,,,False
0.1,0.03,0.03,,,False
0.1,0.03,0.05,,,False
0.1,0.05,0.005,,,False
0.1,0.05,0.01,,,False
0.1,0.05,0.02,,,False
0.1,0.05,0.03,0.3189497122499315,,True
0.1,0.05,0.05,0.3075458308693081,,True
0.15,0.01,0.005,0.3145799445254102,0.008737247896196731,True
0.15,0.01,0.01,0.31158854778806827,0.005745851158854787,True
0.15,0.01,0.02,0.3058426966292135,0.0,True
0.15,0.01,0.03,0.3000855957949559,-0.005757100834257567,True
0.15,0.01,0.05,0.28807194540855346,-0.01777075122066002,True
0.15,0.02,0.005,0.30015344971677965,0.008944504167946454,True
0.15,0.02,0.01,0.29705733445840926,0.005848388909576063,True
0.15,0.02,0.02,0.2912089455488332,0.0,True
0.15,0.02,0.03,0.28538977826389583,-0.0058191672849373655,True
0.15,0.02,0.05,0.2733010277437563,-0.01790791780507689,True
0.15,0.03,0.005,0.28567438945120255,0.009137310799517184,True
0.15,0.03,0.01,0.28255452742894915,0.00601744877726379,True
0.15,0.03,0.02,0.27653707865168536,0.0,True
0.15,0.03,0.03,0.2707340071142228,-0.005803071537462567,True
0.15,0.03,0.05,0.25879407206509103,-0.017743006586594334,True
0.15,0.05,0.005,0.25611063094209163,0.008716163866573479,True
0.15,0.05,0.01,0.253476404494382,0.00608193741886387,True
0.15,0.05,0.02,0.24739446707551815,0.0,True
0.15,0.05,0.03,0.241523983345691,-0.005870483729827153,True
0.15,0.05,0.05,0.23001228221807762,-0.01738218485744053,True
0.2,0.01,0.005,0.23696629213483147,0.008332693888736642,True
0.2,0.01,0.01,0.23393690579083837,0.005303307544743535,True
0.2,0.01,0.02,0.22863359824609483,0.0,True
0.2,0.01,0.03,0.22244733146067416,-0.006186266785420669,True
0.2,0.01,0.05,0.21058372889503094,-0.018049869351063896,True
0.2,0.02,0.005,0.2225670012893719,0.008915315896113468,True
0.2,0.02,0.01,0.2194302764697655,0.005778591076507078,True
0.2,0.02,0.02,0.21365168539325843,0.0,True
0.2,0.02,0.03,0.20771409049498937,-0.005937594898269061,True
0.2,0.02,0.05,0.19606681487712552,-0.017584870516132917,True
0.2,0.03,0.005,0.2080484010371651,0.009010066602267525,True
0.2,0.03,0.01,0.20509609698403314,0.006057762549135565,True
0.2,0.03,0.02,0.19903833443489757,0.0,True
0.2,0.03,0.03,0.19357233146067415,-0.005466002974223422,True
0.2,0.03,0.05,0.18113350958360874,-0.01790482485128883,True
0.2,0.05,0.005,0.17880349031795362,0.009011946852548525,True
0.2,0.05,0.01,0.17588400528750828,0.0060924618221031845,True
0.2,0.05,0.02,0.1697915434654051,0.0,True
0.2,0.05,0.03,0.16406793968679048,-0.005723603778614611,True
0.2,0.05,0.05,0.15228932584269664,-0.017502217622708455,True
0.25,0.01,0.005,0.1594126659856997,0.008585794645297712,True
0.25,0.01,0.01,0.156365697586537,0.005538826246135026,True
0.25,0.01,0.02,0.15082687134040199,0.0,True
0.25,0.01,0.03,0.14487738710642117,-0.005949484233980812,True
0.25,0.01,0.05,0.1333430646190079,-0.017483806721394074,True
0.25,0.02,0.005,0.14500329086549762,0.008643237201234666,True
0.25,0.02,0.01,0.14187454001275698,0.005514486348494024,True
0.25,0.02,0.02,0.13636005366426296,0.0,True
0.25,0.02,0.03,0.13026793431287814,-0.006092119351384817,True
0.25,0.02,0.05,0.11873582440553959,-0.017624229258723367,True
0.25,0.03,0.005,0.13046986721144024,0.008979096745950668,True
0.25,0.03,0.01,0.12745237886235955,0.005961608396869975,True
0.25,0.03,0.02,0.12149077046548958,0.0,True
0.25,0.03,0.03,0.11595439524124257,-0.005536375224247006,True
0.25,0.03,0.05,0.10408188812896922,-0.017408882336520354,True
0.25,0.05,0.005,0.10135939230890964,0.008952791185314127,True
0.25,0.05,0.01,0.09853333037260738,0.006126729249011864,True
0.25,0.05,0.02,0.09240660112359551,0.0,True
0.25,0.05,0.03,0.08670837589376916,-0.005698225229826354,True
0.25,0.05,0.05,0.07486109679414493,-0.01754550432945058,True
0.3,0.01,0.005,0.08178798241328775,0.008441341246660919,True
0.3,0.01,0.01,0.07890247836137843,0.005555837194751598,True
0.3,0.01,0.02,0.07334664116662683,0.0,True
0.3,0.01,0.03,0.06721199915200339,-0.006134642014623437,True
0.3,0.01,0.05,0.05574586043761088,-0.017600780729015948,True
0.3,0.02,0.005,0.06744910911569743,0.008557864680675174,True
0.3,0.02,0.01,0.06421625434574495,0.00532500991072269,True
0.3,0.02,0.02,0.05889124443502226,0.0,True
0.3,0.02,0.03,0.05276007931262393,-0.0061311651223983285,True
0.3,0.02,0.05,0.041104431376667014,-0.017786813058355243,True
0.3,0.03,0.005,0.05291038640723486,0.009015454540153817,True
0.3,0.03,0.01,0.04972692362395108,0.005831991756870034,True
0.3,0.03,0.02,0.043894931867081044,0.0,True
0.3,0.03,0.03,0.03822349780166096,-0.005671434065420082,True
0.3,0.03,0.05,0.0266513688874822,-0.017243562979598843,True
0.3,0.05,0.005,0.02384255848222509,0.009193856911056269,True
0.3,0.05,0.01,0.02089332251036015,0.006244620939191328,True
0.3,0.05,0.02,0.01464870157116882,0.0,True
0.3,0.05,0.03,0.009197805069244839,-0.005450896501923982,True
0.3,0.05,0.05,,,False
0.35,0.01,0.005,,,False
0.35,0.01,0.01,,,False
0.35,0.01,0.02,,,False
0.35,0.01,0.03,,,False
0.35,0.01,0.05,,,False
0.35,0.02,0.005,,,False
0.35,0.02,0.01,,,False
0.35,0.02,0.02,,,False
0.35,0.02,0.03,,,False
0.35,0.02,0.05,,,False
0.35,0.03,0.005,,,False
0.35,0.03,0.01,,,False
0.35,0.03,0.02,,,False
0.35,0.03,0.03,,,False
0.35,0.03,0.05,,,False
0.35,0.05,0.005,,,False
0.35,0.05,0.01,,,False
0.35,0.05,0.02,,,False
0.35,0.05,0.03,,,False
0.35,0.05,0.05,,,False
0.4,0.01,0.005,,,False
0.4,0.01,0.01,,,False
0.4,0.01,0.02,,,False
0.4,0.01,0.03,,,False
0.4,0.01,0.05,,,False
0.4,0.02,0.005,,,False
0.4,0.02,0.01,,,False
0.4,0.02,0.02,,,False
0.4,0.02,0.03,,,False
0.4,0.02,0.05,,,False
0.4,0.03,0.005,,,False
0.4,0.03,0.01,,,False
0.4,0.03,0.02,,,False
0.4,0.03,0.03,,,False
0.4,0.03,0.05,,,False
0.4,0.05,0.005,,,False
0.4,0.05,0.01,,,False
0.4,0.05,0.02,,,False
0.4,0.05,0.03,,,False
0.4,0.05,0.05,,,False
