condition_id,a,c,eta,regime,mean_intervention_rate_adaptive,mean_intervention_rate_passive,mean_intervention_rate_scheduled,mean_terminal_psi_adaptive,mean_terminal_psi_passive,mean_terminal_psi_scheduled,median_first_instability_adaptive,median_first_instability_passive,median_first_instability_scheduled,p_ever_unstable_adaptive,p_ever_unstable_passive,p_ever_unstable_scheduled,delta_unstable_adaptive_vs_passive,delta_unstable_adaptive_vs_scheduled,delta_terminal_adaptive_vs_passive,delta_terminal_adaptive_vs_scheduled,delta_intervention_adaptive_vs_scheduled
0,0.15,0.01,0.3058426966292135,threshold_adjacent,0.41897222222222213,0.0,0.4166666666666666,0.10548912761406624,0.02002014833336939,0.10663243852862452,,,,0.0,0.0,0.0,0.0,0.0,0.08546897928069686,-0.001143310914558271,0.0023055555555555607
0,0.15,0.01,0.32,stressed,0.418861111111111,0.0,0.4166666666666666,0.08072396716527776,-0.00390817032814318,0.08259408637718245,,118.0,,0.0,0.8833333333333333,0.0,0.8833333333333333,0.0,0.08463213749342094,-0.0018701192119046917,0.0021944444444444433
1,0.15,0.02,0.2912089455488332,threshold_adjacent,0.41972222222222216,0.0,0.4166666666666666,0.10487017729131741,0.01990092540619258,0.10635035833613242,,,,0.0,0.0,0.0,0.0,0.0,0.08496925188512483,-0.00148018104481501,0.003055555555555589
1,0.15,0.02,0.32,stressed,0.42558333333333326,0.0,0.4249999999999999,0.056950915929228824,-0.028944885383658924,0.05880323816008501,,109.0,,0.0,1.0,0.0,1.0,0.0,0.08589580131288775,-0.0018523222308561849,0.0005833333333333801
2,0.15,0.03,0.27653707865168536,threshold_adjacent,0.42444444444444435,0.0,0.4249999999999999,0.10493036078475841,0.019999861111247356,0.10749833123562605,,,,0.0,0.0,0.0,0.0,0.0,0.08493049967351106,-0.0025679704508676376,-0.0005555555555555314
2,0.15,0.03,0.31653707865168534,stressed,0.4345833333333333,0.0,0.4333333333333334,0.05367209468453954,-0.04810032674780629,0.04159783064089146,,102.0,,0.0,1.0,0.0,1.0,0.0,0.10177242143234583,0.01207426404364808,0.0012499999999999178
3,0.15,0.05,0.24739446707551815,threshold_adjacent,0.4271111111111111,0.0,0.4249999999999999,0.105249940586523,0.020456507209956527,0.10675837133192156,,,,0.0,0.0,0.0,0.0,0.0,0.08479343337656647,-0.0015084307453985674,0.00211111111111123
3,0.15,0.05,0.28739446707551813,stressed,0.4391388888888889,0.0,0.4416666666666666,0.053992814798078895,-0.048218412297742146,0.043455616355722926,,103.0,,0.0,1.0,0.0,1.0,0.0,0.10221122709582103,0.010537198442355969,-0.0025277777777776844
4,0.2,0.01,0.22863359824609483,threshold_adjacent,0.42730555555555555,0.0,0.4249999999999999,0.10407252405638318,0.01947638802739749,0.1058867871773412,,,,0.0,0.0,0.0,0.0,0.0,0.08459613602898569,-0.001814263120958018,0.0023055555555556717
4,0.2,0.01,0.26863359824609484,stressed,0.43858333333333327,0.0,0.4416666666666666,0.054465211310221855,-0.04892856381049023,0.042312430238143336,,102.0,,0.0,1.0,0.0,1.0,0.0,0.10339377512071209,0.012152781072078518,-0.003083333333333327
5,0.2,0.02,0.21365168539325843,threshold_adjacent,0.4287222222222222,0.0,0.4249999999999999,0.10392631347302604,0.019961863679707096,0.10627751541987926,,,,0.0,0.0,0.0,0.0,0.0,0.08396444979331895,-0.002351201946853218,0.003722222222222349
5,0.2,0.02,0.25365168539325844,stressed,0.44022222222222224,0.0,0.4416666666666666,0.05493066286533765,-0.04783712924104311,0.04270761351340591,,103.0,,0.0,1.0,0.0,1.0,0.0,0.10276779210638076,0.012223049351931733,-0.0014444444444443594
6,0.2,0.03,0.19903833443489757,threshold_adjacent,0.42911111111111105,0.0,0.4249999999999999,0.10416678640667139,0.020263151541925886,0.10660474677614445,,,,0.0,0.0,0.0,0.0,0.0,0.0839036348647455,-0.002437960369473066,0.0041111111111111764
6,0.2,0.03,0.23903833443489758,stressed,0.43994444444444447,0.0,0.4416666666666666,0.05470004997709856,-0.048322620325237854,0.042734801911462485,,103.0,,0.0,1.0,0.0,1.0,0.0,0.10302267030233642,0.011965248065636078,-0.001722222222222125
7,0.2,0.05,0.1697915434654051,threshold_adjacent,0.43111111111111117,0.0,0.4333333333333334,0.10419731465111734,0.020176777384324846,0.10818160107188073,,,,0.0,0.0,0.0,0.0,0.0,0.0840205372667925,-0.003984286420763386,-0.0022222222222222365
7,0.2,0.05,0.2097915434654051,stressed,0.44227777777777777,0.0,0.4416666666666666,0.054594387118100066,-0.04770499693730625,0.04259156817316319,,104.0,,0.0,1.0,0.0,1.0,0.0,0.10229938405540631,0.012002818944936877,0.0006111111111111733
8,0.25,0.01,0.15082687134040199,threshold_adjacent,0.43116666666666675,0.0,0.4333333333333334,0.10322052360603444,0.019707335146195337,0.10758886432671112,,,,0.0,0.0,0.0,0.0,0.0,0.0835131884598391,-0.004368340720676683,-0.00216666666666665
8,0.25,0.01,0.190826871340402,stressed,0.44297222222222227,0.0,0.4416666666666666,0.054036447766693696,-0.048242179400343206,0.04237155693338026,,104.0,,0.0,1.0,0.0,1.0,0.0,0.1022786271670369,0.011664890833313436,0.0013055555555556708
9,0.25,0.02,0.13636005366426296,threshold_adjacent,0.4318888888888889,0.0,0.4333333333333334,0.10313806667108102,0.019847095908729528,0.10712977109034284,,,,0.0,0.0,0.0,0.0,0.0,0.0832909707623515,-0.003991704419261818,-0.001444444444444526
9,0.25,0.02,0.17636005366426297,stressed,0.4432500000000001,0.0,0.4416666666666666,0.05346699304151602,-0.0483350287595789,0.041641881459461176,,104.0,,0.0,1.0,0.0,1.0,0.0,0.10180202180109492,0.011825111582054841,0.001583333333333492
10,0.25,0.03,0.12149077046548958,threshold_adjacent,0.43330555555555555,0.0,0.4333333333333334,0.10379506793314851,0.02007597809761155,0.107857318333534,,,,0.0,0.0,0.0,0.0,0.0,0.08371908983553696,-0.004062250400385492,-2.7777777777848733e-05
10,0.25,0.03,0.16149077046548957,stressed,0.4444722222222222,0.0,0.4416666666666666,0.05363704700667631,-0.0482775394375359,0.041609760474596746,,104.0,,0.0,1.0,0.0,1.0,0.0,0.10191458644421221,0.012027286532079566,0.0028055555555556166
11,0.25,0.05,0.09240660112359551,threshold_adjacent,0.4346666666666667,0.0,0.4333333333333334,0.1039639671797168,0.01983424280906238,0.10701382846553736,,,,0.0,0.0,0.0,0.0,0.0,0.08412972437065441,-0.0030498612858205626,0.0013333333333332975
11,0.25,0.05,0.1324066011235955,stressed,0.4446388888888889,0.0,0.4416666666666666,0.05371020100023303,-0.04828147135086528,0.04189423193130908,,104.0,,0.0,1.0,0.0,1.0,0.0,0.10199167235109831,0.011815969068923945,0.0029722222222223205
12,0.3,0.01,0.07334664116662683,threshold_adjacent,0.43463888888888885,0.0,0.4333333333333334,0.10279044968221969,0.019918865819749557,0.10638377846860982,,,,0.0,0.0,0.0,0.0,0.0,0.08287158386247014,-0.0035933287863901264,0.0013055555555554488
12,0.3,0.01,0.11334664116662682,stressed,0.44563888888888886,0.0,0.4416666666666666,0.053372756389930213,-0.048422384007535874,0.04114336435236094,,104.0,,0.0,1.0,0.0,1.0,0.0,0.1017951403974661,0.012229392037569273,0.003972222222222266
13,0.3,0.02,0.05889124443502226,threshold_adjacent,0.4352222222222223,0.0,0.4333333333333334,0.10178175530508608,0.01950511690525261,0.10626182171814232,,,,0.0,0.0,0.0,0.0,0.0,0.08227663839983347,-0.004480066413056233,0.0018888888888888844
13,0.3,0.02,0.09889124443502226,stressed,0.44583333333333336,0.0,0.4500000000000001,0.05288672615670728,-0.048633000545439814,0.04231520922141717,,104.0,,0.0,1.0,0.0,1.0,0.0,0.1015197267021471,0.010571516935290112,-0.004166666666666763
14,0.3,0.03,0.043894931867081044,threshold_adjacent,0.43538888888888894,0.0,0.4333333333333334,0.10341400791387538,0.019891145634115485,0.10677256978337124,,,,0.0,0.0,0.0,0.0,0.0,0.0835228622797599,-0.0033585618694958602,0.0020555555555555327
14,0.3,0.03,0.08389493186708105,stressed,0.44605555555555554,0.0,0.4500000000000001,0.053699825132874524,-0.04771927461682194,0.04254045773196722,,105.0,,0.0,1.0,0.0,1.0,0.0,0.10141909974969646,0.011159367400907304,-0.003944444444444584
15,0.3,0.05,0.01464870157116882,threshold_adjacent,0.4364722222222222,0.0,0.4333333333333334,0.10319098373763182,0.020715597214010145,0.1069656078931755,,,,0.0,0.0,0.0,0.0,0.0,0.08247538652362167,-0.0037746241555436794,0.0031388888888888022
15,0.3,0.05,0.05464870157116882,stressed,0.4470277777777778,0.0,0.4500000000000001,0.054463332460811816,-0.047669517452759026,0.04261487916635254,,105.0,,0.0,1.0,0.0,1.0,0.0,0.10213284991357084,0.011848453294459278,-0.0029722222222223205
