condition_id,a,c,eta,regime,policy,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high,median_first_instability,mean_terminal_psi,sem_terminal_psi,mean_intervention_rate
0,0.15,0.01,0.32,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.08072396716527776,0.00045244224414832916,0.418861111111111
0,0.15,0.01,0.32,stressed,passive,0.8833333333333333,0.8420668566758442,0.9149068653853369,118.0,-0.00390817032814318,0.00020065468307994946,0.0
0,0.15,0.01,0.32,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.08259408637718245,0.00018808126434495046,0.4166666666666666
0,0.15,0.01,0.3058426966292135,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10548912761406624,0.0004516908374670776,0.41897222222222213
0,0.15,0.01,0.3058426966292135,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.02002014833336939,0.00020676955620785423,0.0
0,0.15,0.01,0.3058426966292135,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10663243852862452,0.0001997137237842315,0.4166666666666666
1,0.15,0.02,0.32,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.056950915929228824,0.0004466517613078619,0.42558333333333326
1,0.15,0.02,0.32,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,109.0,-0.028944885383658924,0.00020363366894043098,0.0
1,0.15,0.02,0.32,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.05880323816008501,0.00020737895001307106,0.4249999999999999
1,0.15,0.02,0.2912089455488332,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10487017729131741,0.0004984473975741156,0.41972222222222216
1,0.15,0.02,0.2912089455488332,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.01990092540619258,0.00019942280057566063,0.0
1,0.15,0.02,0.2912089455488332,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10635035833613242,0.0001910295087314312,0.4166666666666666
