a,c,eta_c_mean,eta_c_mean_low,eta_c_mean_high,valid_mean_boot_count,estimable_mean_boundary,eta_c_probability,eta_c_probability_low,eta_c_probability_high,valid_probability_boot_count,estimable_probability_boundary
0.05,0.01,,,,0,False,,,,0,False
0.05,0.02,,,,0,False,,,,0,False
0.05,0.03,,,,0,False,,,,0,False
0.05,0.05,,,,0,False,,,,0,False
0.1,0.01,,,,0,False,,,,0,False
0.1,0.02,,,,0,False,,,,0,False
0.1,0.03,,,,0,False,,,,0,False
0.1,0.05,,,,0,False,,,,0,False
0.15,0.01,0.3174897039126118,0.31733988576392924,0.31763841663097653,500,True,0.3058426966292135,0.3055247036470385,0.3061585182026439,500,True
0.15,0.02,0.3029762133359336,0.3028104357603382,0.3031235060320627,500,True,0.2912089455488332,0.2909472459254974,0.29151461636007003,500,True
0.15,0.03,0.28834538701579504,0.2881240548967184,0.28853707463362976,500,True,0.27653707865168536,0.2763483146067416,0.27674837416993925,500,True
0.15,0.05,0.25926649623182624,0.2590634146525263,0.2594615523210163,500,True,0.24739446707551815,0.24724987874868645,0.2475509367026277,500,True
0.2,0.01,0.23999976558489622,0.23983149302228265,0.24014363590257187,500,True,0.22863359824609483,0.22832960762397791,0.22886452018552395,500,True
0.2,0.02,0.22545420696967186,0.22528789590701725,0.22559143620475192,500,True,0.21365168539325843,0.2133539448164452,0.2140130746034369,500,True
0.2,0.03,0.2107477161329047,0.21056311758199178,0.21089238047803813,500,True,0.19903833443489757,0.19875742377306616,0.1994116485633063,500,True
0.2,0.05,0.18179107551937587,0.18156958548803734,0.18200197409117966,500,True,0.1697915434654051,0.16965886564023494,0.16994875448014696,500,True
0.25,0.01,0.16246970932067653,0.16230158030705674,0.16259570128246434,500,True,0.15082687134040199,0.15056275080256823,0.15106023788660486,500,True
0.25,0.02,0.1479302048881678,0.14779400889967614,0.14806972591193593,500,True,0.13636005366426296,0.13606617928852918,0.13664060127543276,500,True
0.25,0.03,0.13330814823992765,0.13314284182891795,0.13346220431629183,500,True,0.12149077046548958,0.12122456966717635,0.12181719965427831,500,True
0.25,0.05,0.10425531161962708,0.10405941620521875,0.10445745946827441,500,True,0.09240660112359551,0.09223744108487986,0.09261004358803901,500,True
0.3,0.01,0.08490248148766623,0.08476576467241487,0.0850588839073272,500,True,0.07334664116662683,0.07314179032211598,0.07353421859039837,500,True
0.3,0.02,0.07037842346921533,0.07024009424704451,0.07049388663311303,500,True,0.05889124443502226,0.058628088973971905,0.0591154513447557,500,True
0.3,0.03,0.05574487553931503,0.05559560931691866,0.055878099502395674,500,True,0.043894931867081044,0.04355424254165052,0.04424624483464822,500,True
0.3,0.05,0.02663841554505207,0.0264712116374284,0.026780647498364254,500,True,0.01464870157116882,0.014463572935850016,0.014888753830439224,500,True
0.35,0.01,0.007257773283552912,0.007126705977947243,0.007379692652535554,500,True,,,,0,False
0.35,0.02,,,,0,False,,,,0,False
0.35,0.03,,,,0,False,,,,0,False
0.35,0.05,,,,0,False,,,,0,False
0.4,0.01,,,,0,False,,,,0,False
0.4,0.02,,,,0,False,,,,0,False
0.4,0.03,,,,0,False,,,,0,False
0.4,0.05,,,,0,False,,,,0,False
